id	word	grammar	preverbs	meanings
414	kaṃsavatī	f		name of a sister of Kaṃsa and Kaṃsā; daughter of Ugrasena
415	kaṃsavadha	m		name of a drama
417	kaṃsavidrāvaṇakarī	f		name of DurgA
418	kaṃsaśatruu	m		name of Krishna
419	kaṃsasthāla	n		vessel made of metal
420	kaṃsahanana	n		slaying of KaMsa
421	kaṃsārāta	n		
422	kaṃsāri	m		name of a man; name of a king; name of Kṛṣṇa
423	kaṃsāsthi	n		tutanag; white copper; any alloy of tin and copper
424	kaṃsodbhavā	f		fragrant earth
425	kaṃsaka	m		vessel made of metal; goblet; cup
426	kaṃsaka	n		kind of unguent applied to the eyes; [min.] = kāṃsya
427	kaṃsika	adj		relating to or made of bell-metal
428	kaṃsīya	adj		relating to bell-metall
429	kaṃsīya	n		bell-metal; bronze
430	kaṃsāra	adj		having a hard centre (said of rice)
431	kaṃsakṛṣ	m		"punisher of KaMsa"; name of Krishna
432	kaṃsajit	m		name of Krishna
433	kaṃsavaṇij	m		seller of brass vessels
434	kakajākṛta	adj		mutilated; torn to pieces
435	kakanda	m		gold; name of a king
436	kakara	m		kind of bird
437	kakardu	m		destruction of enemies; der Knurren in den Eingeweiden hat
438	kakāṭa	adj		whirling up; -nackig
439	kakāṭikā	f		a particular part of the frontal bone
441	kakuñjala	m		bird CAtaka
442	kakuṭha	m		kind of bird
443	kakutsala	n		expression of endearment applied to a child
444	kakud	f		peak; chief; head; any projecting corner or projection (as of a plough); hump on the shoulders of the Indian bullock; hump (of a man); name of a metre; an ensign or symbol of royalty (as the white parasol etc.); name of a daughter of Dakza and wife of Dharma
445	kakuddruma	m		name of a jackal
446	kakudmat	adj		having a projection or elevation; possessing a hump
447	kakudmant	m		mountain; Name einer Pflanze (= ṛṣabha); an ox; a bull; name of a mountain
448	kakudmin	adj		peaked; humped
449	kakudmin	m		mountain; bullock with a hump on his shoulders; name of Viṣṇu; name of a king of the ṛnartas; name of a son of Reva
450	kakudminī	f		name of a river; [rel.] name of Devī
451	kakudman	adj		high; lofty
452	kakudvat	adj		having a hump
453	kakudvant	m		bullock with a hump on his shoulders; name of a mountain
454	kakutstha	m		name of a son of Śaśāda [= Vikukṣi] and grandson of Ikṣvāku
455	kakudarūpin	adj		shaped like a hump
456	kakudavat	adj		hump-backed
457	kakudākṣa	m		name of a man
458	kakudāvarta	m		kind of curl on the coat (of a horse)
459	kakudāvartin	m		horse having a curl on the coat
460	kakundara	mn		cavities of the loins
461	kakubh	f		peak; summit; space; region or quarter of the heavens; name of a metre of three Pādas (consisting of eight, twelve, and eight syllables respectively; so called because the second Pāda exceeds the others by four syllables); unornamented hair or the hair hanging down like a tail; wreath of Campaka flowers; splendour; beauty; Śāstra or science; a rāgiṇī or mode of music; name of a daughter of Dakṣa and wife of Dharma (as a personified quarter of the sky); top
462	kakubhvat	adj		having an elevation; rising to a peak
463	kakupkāram	ind		accompanied by rendering into Kakubh metres
464	kakuppradāha	m		"a glowing of the quarters of the sky"; unusual redness of the horizon
465	kakubjaya	m		conquest of the quarters or of the world
466	kakubbhaṇḍa	m		mythical being
467	kakubha	adj		lofty; excelling; distinguished; majestic; impressive
468	kakubha	m		a kind of evil spirit; a kind of bird; the tree Terminalia Arjuna; the part of the Indian lute called the belly (a wooden vessel covered with leather placed under its neck to render the sound deeper); a particular Rāga or mode; a kind of disease; name of a man; [rel.] name of Śiva
469	kakubha	n		
470	kakubhamaya	adj		made of the wood of Terminalia Arjuna
471	kakubhākāra	m		kind of bird
472	kakubhādinī	f		"tasting like Kakubha"; kind of perfume
473	kakuyaṣṭikā	f		kind of bird
474	kakeruka	m		a kind of worm in the stomach
475	kakkaṭa	m		a species of animal (offered at a sacrifice to the goddess Anumati); a crab (?)
476	kakkala	n		name of a man
477	kakkula	m		name of a Buddhist Bhikzu
478	kakkola	m		a species of plant; Piper cubeba Linn.F.; the fruit of Cocculus indicus; the berry of Luvunga scandens Buch.-Ham.
479	kakkolī	f		species of plant
480	kakkola	n		perfume prepared from the berries of the kakkola
481	kakkolaka	n		perfume from the plant kakkola; Piper cubeba Linn.
482	kakkolikā	f		species of plant
483	kakkhaṭa	adj		hard; solid
484	kakkhaṭā	f		chalk
485	kakkhaṭapattraka	m		Corchorus Olitorius (rope is made from its fibre)
486	kakudmi	f		
487	kakuda	mn		a kind of snake; = kakud; name of an ascetic; name of one of the six famous heretical teachers of Buddha's day
488	kakudakātyāyana	m		name of a BrAhman (who was a violent adversary of SAkyamuni)
489	kakummati	f		name of a metre
490	kakuha	adj		lofty; high; eminent; great; riesig; hervorragend
491	kakuhastinā	f		
492	kakkarāja	m		name of a king
493	kakvala	m		name of a man
494	kakṣa	m		lurking-place; hiding-place; wood; large wood; forest of dead trees; dry wood; underwood (often the lair of wild beasts); an inner recess; interior of a forest; grass; dry grass; spreading creeper; climbing plant; side; sin; gate; buffalo; Terminalia Bellerica; Dickicht; brushwood
495	kakṣa	mf		arm-pit (as the most concealed part of the human body); region of the girth; girdle; belt; girth; end of the lower garment; hem; border; lace; scale of a balance
496	kakṣā	f		painful boils in the arm-pit; surrounding wall; wall; any place surrounded by walls (as a court-yard); secluded portion of a building; private chamber or room in general; orbit of a planet; periphery; circumference; balance; equality; similarity; resemblance; emulation; rivalry
497	kakṣadhara	mn		part of the body where the upper arm is connecte with the shoulder; shoulder-joint
498	kakṣapa	m		one of the nine treasures of Kuvera
499	kakṣapuṭa	m		arm-pit; name of work on magic; name of a magical potion
500	kakṣaruhā	f		fragrant grass; Cyperus
501	kakṣaloman	n		hair under the arm-pit
502	kakṣaśāya	m		dog
503	kakṣasena	m		name of a Rajarshi
504	kakṣastha	adj		situated on the side; seated on the heap or flank
505	kakṣāgni	m		fire in dry wood or grass
506	kakṣādhyāya	m		name of a part of a commentary by BhUdhara on the SUryasiddhAnta
507	kakṣāntara	n		an inner or private apartment
508	kakṣāpaṭa	m		cloth passed between the legs to cover the privities
